,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.yahoo.com/gma/biden-heads-arizona-nevada-mobilize-001018826.html,,"Biden heads to Arizona , Nevada to mobilize Latino voters",20240320T004500Z,https://s.yimg.com/ny/api/res/1.2/4BBQGerbVxRpq04MagjGBQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/us.abcnews.go.com/b92a3b49b326bfa2b193a5b0dba2b07f,yahoo.com,English,United States
1,https://www.postregister.com/news/national/biden-promotes-plan-to-lower-housing-costs-while-courting-latino-voters-in-nevada-and-arizona/article_6e8f1bbe-3c15-5db6-8eec-320eeb87e9d6.html,https://www.postregister.com/news/national/biden-promotes-plan-to-lower-housing-costs-while-courting-latino-voters-in-nevada-and-arizona/article_6e8f1bbe-3c15-5db6-8eec-320eeb87e9d6.amp.html,Biden promotes plan to lower housing costs while courting Latino voters in Nevada and Arizona,20240320T004500Z,https://bloximages.chicago2.vip.townnews.com/postregister.com/content/tncms/assets/v3/editorial/7/db/7db654b0-cd35-5f49-b2f6-37aa58076f27/65f9e7385f4fc.image.jpg?crop=1763%2C926%2C0%2C124,postregister.com,English,United States
2,https://www.blackenterprise.com/2024-elections-black-women-inflation-housing/,https://www.blackenterprise.com/2024-elections-black-women-inflation-housing/amp/,Black Women Are Concerned As 2024 Elections Approach,20240320T004500Z,https://www.blackenterprise.com/wp-content/blogs.dir/1/files/2024/03/img_44636.jpg,blackenterprise.com,English,United States
3,https://www.northwestsignal.net/news/article_d8a17021-0e3c-5f33-b5e4-0f7628d955d8.html,,"Biden says Trump hates Latinos , in pitch for key vote",20240320T004500Z,https://bloximages.chicago2.vip.townnews.com/northwestsignal.net/content/tncms/assets/v3/editorial/c/72/c72749fd-5d21-57c3-9bc0-c839444523cf/65f9acc66cd78.image.jpg?crop=341%2C341%2C85%2C0,northwestsignal.net,English,United States
4,https://www.yahoo.com/news/ohio-primary-election-view-results-233054147.html,,"Ohio primary election : View results for Franklin , Delaware , Licking , other counties",20240320T004500Z,https://s.yimg.com/ny/api/res/1.2/DG6op0284_GtwMXpnGV0YA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04OTY-/https://media.zenfs.com/en/the-columbus-dispatch/22c634a7a7bbbf672e2e48227735b725,yahoo.com,English,United States
5,https://lasvegassun.com/news/2024/mar/19/in-las-vegas-visit-biden-outlines-plan-to-lower-ho/,https://m.lasvegassun.com/news/2024/mar/19/in-las-vegas-visit-biden-outlines-plan-to-lower-ho/,"In Las Vegas visit , Biden outlines plan to lower housing costs for the working class",20240320T004500Z,https://media.lasvegassun.com/media/img/photos/2024/03/19/0319_sun_JoeBiden11_t1200.JPG?a58a258a4dac404905303588401680fdf3ee23e4,lasvegassun.com,English,United States
6,https://www.wfaa.com/article/news/politics/national-politics/president-joe-biden-dfw-fundraiser-wednesday/287-7f5cd3d7-cb62-48c2-8b2b-86f3b223a247,,Biden stopping in DFW on Wednesday,20240320T000000Z,https://media.wfaa.com/assets/WFAA/images/d540be6c-79bb-476e-9c12-97ebfac10d42/d540be6c-79bb-476e-9c12-97ebfac10d42_1140x641.jpg,wfaa.com,English,United States
7,https://www.ketv.com/article/at-omaha-visit-second-gentleman-douglas-emhoff-campaigns-for-biden-nebraska-democrats-and-reproductive-rights/60249005,https://www.ketv.com/amp/article/at-omaha-visit-second-gentleman-douglas-emhoff-campaigns-for-biden-nebraska-democrats-and-reproductive-rights/60249005,"At Omaha visit , Second Gentleman talks reproductive rights",20240320T000000Z,"https://kubrick.htvapps.com/vidthumb/308f99ae-9d11-49ab-8b4e-e972cacfafec/ebd17244-8080-4b26-bb15-f369afee6a8a.jpg?crop=0.747xw:0.748xh;0.165xw,0",ketv.com,English,United States
8,https://www.nysun.com/article/biden-campaign-launches-new-ad-targeted-at-latinos-during-campaign-trip-to-southwest,,Biden Campaign Launches New Ad Targeted at Latinos During Campaign Trip to Southwest,20240320T000000Z,https://wp.nysun.com/wp-content/uploads/2024/02/Trump_Biden.jpg?&fit=fill&fm=jpg&fl=progressive,nysun.com,English,United States
9,https://www.douglas-budget.com/news/national/article_62f91e78-5b5f-5820-a7de-7bc5f391df94.html,,"Biden says Trump hates Latinos , in pitch for key vote",20240320T014500Z,https://bloximages.chicago2.vip.townnews.com/douglas-budget.com/content/tncms/assets/v3/editorial/d/7e/d7eeb906-68af-5ae4-b021-a7f044af5d33/65f9acb7a7fdf.image.jpg?crop=341%2C341%2C85%2C0,douglas-budget.com,English,United States
